match_id,espn_event_id,date,clock,event_type,team_cn,player_en,description,source
2026-06-12_韩国_vs_捷克,760414,2026-06-12,59',Goal - Header,捷克,Ladislav Krejcí,Ladislav Krejcí Goal - Header,ESPN
2026-06-12_韩国_vs_捷克,760414,2026-06-12,62',Substitution,韩国,Hwang Hee-Chan,Hwang Hee-Chan Substitution,ESPN
2026-06-12_韩国_vs_捷克,760414,2026-06-12,64',Substitution,捷克,Adam Hlozek,Adam Hlozek Substitution,ESPN
2026-06-12_韩国_vs_捷克,760414,2026-06-12,64',Substitution,捷克,Tomás Chorý,Tomás Chorý Substitution,ESPN
2026-06-12_韩国_vs_捷克,760414,2026-06-12,64',Substitution,捷克,Michal Sadílek,Michal Sadílek Substitution,ESPN
2026-06-12_韩国_vs_捷克,760414,2026-06-12,67',Goal,韩国,Hwang In-Beom,Hwang In-Beom Goal,ESPN
2026-06-12_韩国_vs_捷克,760414,2026-06-12,69',Substitution,韩国,Eom Ji-Sung,Eom Ji-Sung Substitution,ESPN
2026-06-12_韩国_vs_捷克,760414,2026-06-12,69',Substitution,韩国,Oh Hyeon-Gyu,Oh Hyeon-Gyu Substitution,ESPN
2026-06-12_韩国_vs_捷克,760414,2026-06-12,80',Goal,韩国,Oh Hyeon-Gyu,Oh Hyeon-Gyu Goal,ESPN
2026-06-12_韩国_vs_捷克,760414,2026-06-12,84',Substitution,韩国,Kim Jin-Gyu,Kim Jin-Gyu Substitution,ESPN
2026-06-12_韩国_vs_捷克,760414,2026-06-12,84',Substitution,韩国,Park Jin-Seop,Park Jin-Seop Substitution,ESPN
2026-06-12_韩国_vs_捷克,760414,2026-06-12,84',Substitution,捷克,Mojmír Chytil,Mojmír Chytil Substitution,ESPN
2026-06-12_韩国_vs_捷克,760414,2026-06-12,90'+6',Yellow Card,韩国,Lee Gi-Hyuk,Lee Gi-Hyuk Yellow Card,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,9',Goal,墨西哥,Julián Quiñones,Julián Quiñones Goal,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,17',Yellow Card,南非,Teboho Mokoena,Teboho Mokoena Yellow Card,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,23',Yellow Card,墨西哥,Brian Gutiérrez,Brian Gutiérrez Yellow Card,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,49',Red Card,南非,Sphephelo Sithole,Sphephelo Sithole Red Card,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,56',Substitution,南非,Thalente Mbatha,Thalente Mbatha Substitution,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,61',Substitution,南非,Themba Zwane,Themba Zwane Substitution,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,66',Substitution,墨西哥,Luis Chávez,Luis Chávez Substitution,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,66',Substitution,墨西哥,Gilberto Mora,Gilberto Mora Substitution,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,67',Goal - Header,墨西哥,Raúl Jiménez,Raúl Jiménez Goal - Header,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,74',Yellow Card,南非,Nkosinathi Sibisi,Nkosinathi Sibisi Yellow Card,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,76',Substitution,墨西哥,Edson Álvarez,Edson Álvarez Substitution,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,76',Substitution,墨西哥,Armando González,Armando González Substitution,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,76',Substitution,南非,Evidence Makgopa,Evidence Makgopa Substitution,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,77',Substitution,南非,Oswin Appollis,Oswin Appollis Substitution,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,79',Substitution,墨西哥,Alexis Vega,Alexis Vega Substitution,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,84',Red Card,南非,Themba Zwane,Themba Zwane Red Card,ESPN
2026-06-11_墨西哥_vs_南非,760415,2026-06-11,90'+2',Red Card,墨西哥,César Montes,César Montes Red Card,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,11',Yellow Card,加拿大,Alistair Johnston,Alistair Johnston Yellow Card,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,21',Goal - Header,波黑,Jovo Lukic,Jovo Lukic Goal - Header,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,45',Yellow Card,波黑,Ermedin Demirovic,Ermedin Demirovic Yellow Card,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,45'+1',Yellow Card,波黑,Jovo Lukic,Jovo Lukic Yellow Card,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,53',Yellow Card,加拿大,Luc de Fougerolles,Luc de Fougerolles Yellow Card,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,61',Substitution,加拿大,Jacob Shaffelburg,Jacob Shaffelburg Substitution,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,61',Substitution,加拿大,Promise David,Promise David Substitution,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,61',Substitution,加拿大,Ali Ahmed,Ali Ahmed Substitution,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,62',Substitution,波黑,Samed Bazdar,Samed Bazdar Substitution,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,62',Substitution,波黑,Armin Gigovic,Armin Gigovic Substitution,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,74',Substitution,波黑,Ivan Sunjic,Ivan Sunjic Substitution,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,74',Substitution,波黑,Kerim Alajbegovic,Kerim Alajbegovic Substitution,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,76',Substitution,加拿大,Cyle Larin,Cyle Larin Substitution,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,78',Goal,加拿大,Cyle Larin,Cyle Larin Goal,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,84',Substitution,波黑,Dzenis Burnic,Dzenis Burnic Substitution,ESPN
2026-06-12_加拿大_vs_波黑,760416,2026-06-12,90'+1',Substitution,加拿大,Jonathan Osorio,Jonathan Osorio Substitution,ESPN
